,id,publisher,title,author,published_utc,article_url,tickers,description,amp_url,image_url,keywords
261,7hYVD9mLuwF89UkIWM4B6Ne1G4zyLef246mPaNwu_7w,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","The Zacks Analyst Blog Highlights Marathon Petroleum, Suncor Energy and Valero Energy",Zacks Equity Research,2022-06-14T09:32:00Z,https://www.zacks.com/stock/news/1938496/the-zacks-analyst-blog-highlights-marathon-petroleum-suncor-energy-and-valero-energy,"['VLO', 'SU', 'MPC']","Marathon Petroleum, Suncor Energy and Valero Energy have been included in this Analyst Blog.",https://www.zacks.com/amp/stock/news/1938496/the-zacks-analyst-blog-highlights-marathon-petroleum-suncor-energy-and-valero-energy,https://staticx-tuner.zacks.com/images/articles/main/6c/1976.jpg,
262,t0TQpfKvdu0lZhzqf_bNs1s8x7q2150LAx2kIUsEMpc,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",5 Low-Leverage Stocks to Buy as Possibility of Recession Rises,Aparajita Dutta,2022-06-14T11:34:00Z,https://www.zacks.com/stock/news/1938535/5-low-leverage-stocks-to-buy-as-possibility-of-recession-rises,"['HST', 'R', 'CB', 'VLO', 'PKG']","Investors seem to be panicking as fears of a recession cast a shadow over the stock market. Amid such uncertainty one may look for low leverage stocks like PKG, VLO, CB, HST and R.",https://www.zacks.com/amp/stock/news/1938535/5-low-leverage-stocks-to-buy-as-possibility-of-recession-rises,https://staticx-tuner.zacks.com/images/articles/main/1c/17962.jpg,
263,m58OJ9CxwduoxLn51-7kNyl_9rtIkiKZOif48Z6K3V0,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",4 Stocks With Solid Net Profit Margin to Enhance Your Returns,Anirudha Bhagat,2022-06-14T11:37:00Z,https://www.zacks.com/stock/news/1938536/4-stocks-with-solid-net-profit-margin-to-enhance-your-returns,"['VLO', 'CMLS', 'WIRE', 'TGLS']","Here are four top-ranked stocks - VLO, WIRE, TGLS and CMLS - with solid net profit margins that can contribute toward making a solid portfolio.",https://www.zacks.com/amp/stock/news/1938536/4-stocks-with-solid-net-profit-margin-to-enhance-your-returns,https://staticx-tuner.zacks.com/images/articles/main/df/2916.jpg,
264,r5ZgMggNOaj8iC1bVpC4YXnyqwa5tw9julqfGrz2elE,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Cheniere (LNG) Signs a Long-Term LNG Sale Deal With Equinor,Zacks Equity Research,2022-06-14T12:00:00Z,https://www.zacks.com/stock/news/1938565/cheniere-lng-signs-a-long-term-lng-sale-deal-with-equinor,"['VLO', 'LNG', 'ESTE', 'EQNR']","Cheniere Energy, Inc. (LNG) is likely to supply about 1.75 million tons per annum of liquefied natural gas to Equinor.",https://www.zacks.com/amp/stock/news/1938565/cheniere-lng-signs-a-long-term-lng-sale-deal-with-equinor,https://staticx-tuner.zacks.com/images/articles/main/ec/174.jpg,
265,WSGoyeVaGQ2FwsYbMGMIsc_y3igHmVLUwmlTQMSsFi4,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Zacks.com featured highlights Valero Energy, Encore Wire, Tecnoglass and Cumulus Media",Zacks Equity Research,2022-06-15T11:55:00Z,https://www.zacks.com/stock/news/1939165/zackscom-featured-highlights-valero-energy-encore-wire-tecnoglass-and-cumulus-media,"['VLO', 'CMLS', 'WIRE', 'TGLS']","Valero Energy, Encore Wire, Tecnoglass and Cumulus Media have been highlighted in this Screen of the week article.",https://www.zacks.com/amp/stock/news/1939165/zackscom-featured-highlights-valero-energy-encore-wire-tecnoglass-and-cumulus-media,https://staticx-tuner.zacks.com/images/articles/main/6c/1976.jpg,
266,GcKROl7A8G4aZgdtEBr7QNvSS4iC4HeLGNFDwCCfIH4,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","Zacks.com featured highlights Packaging Corporation of America, Valero Energy, Chubb, Host Hotels & Resorts and Ryder Systems",Zacks Equity Research,2022-06-15T12:01:00Z,https://www.zacks.com/stock/news/1939176/zackscom-featured-highlights-packaging-corporation-of-america-valero-energy-chubb-host-hotels-resorts-and-ryder-systems,"['HST', 'R', 'CB', 'VLO', 'PKG']","Packaging Corporation of America, Valero Energy, Chubb, Host Hotels & Resorts and Ryder Systems have been highlighted in this Screen of the Week article.",https://www.zacks.com/amp/stock/news/1939176/zackscom-featured-highlights-packaging-corporation-of-america-valero-energy-chubb-host-hotels-resorts-and-ryder-systems,https://staticx-tuner.zacks.com/images/articles/main/78/1893.jpg,
267,nXS3-3MXykBCg3IKZgjUMcEZMeJutWWh9Ni0_05m4AI,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Matador (MTDR) Announces a 100% Hike in Its Quarterly Dividend,Zacks Equity Research,2022-06-15T13:41:00Z,https://www.zacks.com/stock/news/1939349/matador-mtdr-announces-a-100-hike-in-its-quarterly-dividend,"['EPD', 'VLO', 'OAS', 'MTDR']","Matador (MTDR) expects to implement the raised dividend with its next quarterly distribution, which is expected in the third quarter of this year.",https://www.zacks.com/amp/stock/news/1939349/matador-mtdr-announces-a-100-hike-in-its-quarterly-dividend,https://staticx-tuner.zacks.com/images/articles/main/44/18533.jpg,
268,sh-5tp2V8MR1ELT88isfqIn2dLSiT6il2EzucS2Ksls,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}","Biden Rebukes Chevron, Big Oil: Is a Windfall Profits Tax Next?",newsfeedback@fool.com (Dan Caplinger),2022-06-15T15:06:00Z,https://www.fool.com/investing/2022/06/15/biden-chevron-big-oil-is-windfall-profit-tax-next/,"['CVX', 'XOM', 'VLO', 'PSX', 'MPC', 'BP', 'SHEL']",The president criticized the oil industry for its current high refinery margins and pressed its leaders to bring down prices at the pump.,,https://g.foolcdn.com/editorial/images/685175/oil-refinery-gettyimages-184413917.jpg,['investing']
269,aij3rrsQTjgZc-mXP5Albi4nxmLnJEGCG8pjN-kdvbc,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Here's Why Valero Energy (VLO) is a Great Momentum Stock to Buy,Zacks Equity Research,2022-06-15T16:00:04Z,https://www.zacks.com/stock/news/1939433/heres-why-valero-energy-vlo-is-a-great-momentum-stock-to-buy,['VLO'],Does Valero Energy (VLO) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://www.zacks.com/amp/stock/news/1939433/heres-why-valero-energy-vlo-is-a-great-momentum-stock-to-buy,https://staticx-tuner.zacks.com/images/default_article_images/default27.jpg,
270,qYTDCqJOP7X7FdGdcn290prf9ezm5UPI7UDxCt7MCho,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/marketwatch.ico'}","Biden blasts refiners' profits as 'not acceptable,' while Democratic senator targets Big Oil's 'profiteering'",MarketWatch,2022-06-15T17:39:00Z,https://www.marketwatch.com/story/biden-blasts-refiners-profits-as-not-acceptable-while-democratic-senator-targets-big-oils-profiteering-11655314762,"['MRO', 'VLO', 'XOM', 'PSX', 'CVX', 'BP', 'SHEL']",Democratic-run Washington is continuing to make an effort to address high gasoline prices.,https://www.marketwatch.com/amp/story/biden-blasts-refiners-profits-as-not-acceptable-while-democratic-senator-targets-big-oils-profiteering-11655314762,https://images.mktw.net/im-564774/horizontal,
271,xJ51u-8xQYLEh-_nm96qb1LyQxYW0nNPz2x5WsvvgI0,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Is Valero a Buy Now?,newsfeedback@fool.com (Jake Lerch),2022-06-16T12:39:00Z,https://www.fool.com/investing/2022/06/16/is-valero-a-buy-now/,['VLO'],There's a shortage of American refineries. So is it time to buy Valero?,,https://g.foolcdn.com/editorial/images/684284/gettyimages-stock-market-buy-sell.jpg,['investing']
272,LR1dNzXlVM13HS4BIhXsXjUWjPgbGrVKsobDj8FBq-A,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Are Refining Companies to Blame for Your Pain at the Pump?,newsfeedback@fool.com (Matthew DiLallo),2022-06-19T14:30:00Z,https://www.fool.com/investing/2022/06/19/are-refining-companies-to-blame-for-your-pain-at-t/,"['MPC', 'VLO', 'PBF', 'DK']",The sector is facing criticism for cashing in on the current environment.,,https://g.foolcdn.com/editorial/images/685585/a-person-standing-next-to-an-energy-facility.jpg,['investing']
273,JjO_81dyCchQ58EZ712jXtflXki34089tGarOaMc1wQ,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Energy Stock Valuations Are Coming Down. Should You Buy?,Sejuti Banerjea,2022-06-21T12:50:00Z,https://www.zacks.com/stock/news/1941541/energy-stock-valuations-are-coming-down-should-you-buy,"['VLO', 'MPC', 'PSX']",There are a number of reasons why the current weakness could be a godsend.,https://www.zacks.com/amp/stock/news/1941541/energy-stock-valuations-are-coming-down-should-you-buy,https://staticx-tuner.zacks.com/images/articles/main/3e/1127.jpg,
274,9ijpCkhlAa_1KDd2JC4gCpnqwZvkbR_KoGXL7ESj66s,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}","The Zacks Analyst Blog Highlights Marathon Petroleum, Phillips 66 and Valero Energy",Zacks Equity Research,2022-06-22T08:58:00Z,https://www.zacks.com/stock/news/1942009/the-zacks-analyst-blog-highlights-marathon-petroleum-phillips-66-and-valero-energy,"['VLO', 'MPC', 'PSX']","Marathon Petroleum, Phillips 66 and Valero Energy have been included in this Analyst Blog.",https://www.zacks.com/amp/stock/news/1942009/the-zacks-analyst-blog-highlights-marathon-petroleum-phillips-66-and-valero-energy,https://staticx-tuner.zacks.com/images/articles/main/6c/1976.jpg,
275,3cxq1ucalo9Rayh3Yf-Y2QqRS2i6BL4WvWzClq1rA6s,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/marketwatch.ico'}",Gas prices are headed to $6 by Labor Day — here are the main reasons for that,MarketWatch,2022-06-22T13:11:00Z,https://www.marketwatch.com/story/gas-prices-are-headed-to-6-by-labor-day-here-are-the-main-reasons-why-11655732942,"['XOM', 'MPC', 'VLO', 'PSX']","Shrinking refinery capacity and U.S. stockpiles, and there's little Biden can do.",https://www.marketwatch.com/amp/story/gas-prices-are-headed-to-6-by-labor-day-here-are-the-main-reasons-why-11655732942,https://images.mktw.net/im-567495/social,
276,QEpvHK-HzeSOTFD6N-ni1MiqaXrgAJA2tv6fdokgz3g,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",ExxonMobil (XOM) Negotiates With the US for Golden Pass Project,Zacks Equity Research,2022-06-22T14:08:00Z,https://www.zacks.com/stock/news/1942317/exxonmobil-xom-negotiates-with-the-us-for-golden-pass-project,"['XOM', 'VLO', 'SUN', 'MPC']","The Golden Pass LNG expansion project is on schedule, but ExxonMobil (XOM) is seeking approval to start up before the due date.",https://www.zacks.com/amp/stock/news/1942317/exxonmobil-xom-negotiates-with-the-us-for-golden-pass-project,https://staticx-tuner.zacks.com/images/articles/main/d4/1323.jpg,
277,pkBsy287v-8ApQJ4mmoWhjVq_X9SaalvLDw2k_KxBZs,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Valero Energy (VLO) Stock Sinks As Market Gains: What You Should Know,Zacks Equity Research,2022-06-24T21:45:17Z,https://www.zacks.com/stock/news/1943789/valero-energy-vlo-stock-sinks-as-market-gains-what-you-should-know,['VLO'],"Valero Energy (VLO) closed at $103.93 in the latest trading session, marking a -0.57% move from the prior day.",https://www.zacks.com/amp/stock/news/1943789/valero-energy-vlo-stock-sinks-as-market-gains-what-you-should-know,https://staticx-tuner.zacks.com/images/default_article_images/default13.jpg,
278,amvsyEhopVIIdJq7nVZvp1QWe-Cb5ahXxPqo0vbtcSM,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/seekingalpha.ico'}",Wall Street Breakfast: What Moved Markets,Wall Street Breakfast,2022-06-25T11:57:12Z,https://seekingalpha.com/article/4520333-wall-street-breakfast-what-moved-markets,"['PFE', 'BNTX', 'MRNA', 'SWBI', 'MO', 'BTI', 'NCLH', 'CCL', 'ETSY', 'PENN', 'DVN', 'MRO', 'PSX', 'APA', 'VLO']","Listen on the go! A daily podcast of Wall Street Breakfast will be available this morning on Seeking Alpha, iTunes, Stitcher and Spotify.",,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,
279,wqo2jLkFT76fGxI-0TfNOFrk1GWzzYsBx3yKUds5iS0,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",These 3 Dividend ETFs Are a Retiree's Best Friend,newsfeedback@fool.com (James Brumley),2022-06-27T12:12:00Z,https://www.fool.com/investing/2022/06/27/these-3-dividend-etfs-are-a-retirees-best-friend/,"['VIG', 'MO', 'MSFT', 'IBM', 'JNJ', 'DVY', 'VLO', 'FPE']","When your paychecks stop coming in, you'll need a plan for replacing that income.",,https://g.foolcdn.com/editorial/images/686804/retired-friends.jpg,['investing']
280,ZBAjrySUkx6Sm1QSGkX6iMJ73F8Fqi4TDX_RCo3RM-M,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",5 Must-Buy Stocks to Tap Wall Street's Relief Rally,Nalak Das,2022-06-27T12:27:00Z,https://www.zacks.com/stock/news/1944170/5-must-buy-stocks-to-tap-wall-streets-relief-rally,"['NUE', 'DELL', 'VLO', 'KR', 'MPC']","We have narrowed our search to five U.S. large-cap corporates with strong growth potential for the rest of 2022. These are: NUE, KR, DELL, MPC and VLO",https://www.zacks.com/amp/stock/news/1944170/5-must-buy-stocks-to-tap-wall-streets-relief-rally,https://staticx-tuner.zacks.com/images/articles/main/eb/200.jpg,
281,mHt9r2Ls-34vzqAGMmuPYgck5_h8sW01pGXzokakuok,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Monday's Stock Winners Are All in 1 Place,newsfeedback@fool.com (Dan Caplinger),2022-06-27T17:17:00Z,https://www.fool.com/investing/2022/06/27/mondays-stock-winners-are-all-in-1-place/,"['XOM', 'CVX', 'PBR', 'DVN', 'VLO', 'PSX', 'EQNR', 'LNG', 'MRO', 'VET', 'DINO']",One part of the stock market outshined the rest.,,https://g.foolcdn.com/editorial/images/687120/oilfield-worker_l2nvh3h-getty.jpg,['investing']
