,DVN,MRO,CTRA,PSX,HAL,MPC,KMI,OXY,HES,VLO,XOM,CVX,BKR,FANG,EOG,COP,PXD,OKE,APA,WMB,SLB
155,21.59,11.16,21.41,85.53,20.94,55.77,15.29,26.06,68.26,75.81,55.05,99.63,23.91,71.01,67.85,52.1,145.24,45.62,19.75,23.84,27.74
156,22.27,11.84,20.78,87.25,22.27,56.65,15.72,28.16,68.8,78.16,56.7,103.31,25.15,73.8,72.37,54.67,150.06,46.71,20.81,23.91,29.41
157,21.35,11.3,21.29,84.64,22.03,55.07,15.29,26.75,66.96,78.15,55.76,102.35,24.73,69.06,70.59,53.03,149.05,45.4,20.13,23.45,28.51
158,21.54,11.1,22.56,83.05,21.83,54.62,14.7,26.61,65.53,76.98,54.37,100.0,24.48,69.28,64.56,52.01,148.57,44.29,19.73,22.84,27.91
159,22.4,11.2,22.47,84.7,23.01,56.1,15.04,27.64,65.53,77.8,56.4,102.05,24.98,73.66,64.98,52.61,148.47,47.47,19.52,23.59,28.72
160,22.48,11.23,22.11,82.27,22.28,56.03,15.09,27.82,64.73,76.63,56.07,102.44,24.37,71.01,64.47,52.28,149.75,46.89,19.5,23.72,28.14
161,22.69,11.63,21.88,83.84,22.28,56.07,15.17,28.66,67.64,77.53,56.52,103.59,24.46,74.44,66.99,53.66,154.16,47.77,19.91,23.74,28.37
162,23.62,12.36,21.32,84.41,22.08,56.51,15.69,29.9,70.79,76.37,58.71,104.5,24.03,81.26,71.43,55.62,158.57,48.25,20.98,24.11,28.58
163,25.61,12.98,21.59,87.35,23.84,57.32,15.87,31.23,75.04,79.03,60.93,109.0,24.35,85.27,74.58,58.34,163.59,49.57,23.25,24.26,29.07
164,24.57,12.38,21.45,88.47,24.36,57.16,16.22,29.77,73.78,80.56,60.87,109.75,24.33,84.17,74.59,58.78,162.09,49.54,23.17,24.12,29.71
165,23.83,12.0,22.09,85.4,23.47,55.87,15.67,28.65,70.5,76.58,59.93,109.5,23.95,81.03,73.61,57.9,156.93,48.64,21.6,23.56,29.35
166,23.9,12.22,21.75,88.44,24.14,58.18,16.24,29.36,70.89,81.37,61.77,111.37,24.38,80.94,75.11,59.42,158.5,50.95,21.63,24.4,29.95
167,24.64,12.51,21.58,87.73,23.84,58.0,16.2,30.98,73.19,82.48,61.31,111.19,24.16,84.04,75.31,59.83,164.58,50.4,21.89,23.9,29.4
168,24.25,12.2,21.66,88.66,24.02,57.75,16.35,30.63,72.49,82.42,61.97,111.56,24.37,82.01,75.0,59.19,165.63,51.6,21.23,23.93,29.01
169,24.61,12.05,21.36,87.84,23.97,57.86,16.33,29.3,71.48,81.83,60.39,110.25,24.22,84.29,74.36,58.16,165.76,51.29,21.53,23.67,29.12
170,23.51,11.46,20.27,84.93,22.87,56.21,15.92,28.17,69.01,79.32,59.11,107.64,23.02,82.09,70.65,56.58,163.03,49.54,20.75,23.22,28.06
171,23.68,11.66,20.85,85.46,23.35,56.21,16.22,29.04,70.85,79.14,59.37,108.03,23.98,81.41,73.19,56.83,169.27,50.32,20.985,23.38,28.31
172,22.36,10.68,20.6,81.37,22.17,52.85,15.76,26.62,67.32,73.7,56.81,104.12,22.98,75.17,68.9,53.38,161.88,48.2,19.24,22.76,27.25
173,22.7,11.02,20.82,82.26,21.79,53.76,15.92,28.1,68.61,73.7,56.49,103.38,22.62,75.81,70.08,52.6,163.48,48.46,19.48,22.95,27.05
174,22.33,10.83,20.98,80.58,21.54,53.35,15.78,27.46,68.5,72.28,55.91,102.54,22.31,75.31,68.23,52.24,158.66,48.49,18.86,22.99,27.65
175,21.74,10.17,20.61,78.98,20.81,52.44,15.68,26.59,66.96,70.08,55.22,101.97,21.69,72.13,69.65,51.71,157.34,47.45,18.275,23.01,26.67
176,22.34,10.44,20.77,82.03,21.3,53.17,16.19,27.06,69.08,71.78,56.34,104.7,22.07,74.39,72.54,53.21,161.3,48.74,18.58,23.49,27.42
177,22.35,10.53,19.99,82.44,21.2,53.88,16.36,26.7,68.95,72.42,56.18,105.07,21.53,73.8,73.04,53.57,161.31,49.69,18.34,23.94,27.4
178,22.74,11.09,20.96,84.31,21.79,55.02,16.8,27.76,72.32,73.11,57.71,107.48,22.34,75.79,74.88,55.04,164.81,51.18,18.79,24.56,28.31
179,21.85,10.9,21.0,82.53,21.24,53.53,16.75,27.0,71.61,71.86,57.4,106.92,22.16,74.24,73.64,53.84,162.28,50.57,17.96,24.04,27.7
180,22.0,10.98,21.09,82.31,21.5,53.6,16.62,27.33,71.04,71.78,56.69,105.93,21.73,74.48,73.26,53.43,160.62,50.26,17.83,23.68,27.22
181,21.85,10.68,21.0,81.54,21.46,53.49,16.65,26.62,70.76,71.6,55.83,104.79,21.61,73.49,72.53,52.97,158.82,50.66,17.9,23.69,27.19
182,23.5,11.79,20.84,83.16,21.92,55.8,16.84,27.38,74.48,75.3,57.39,105.75,21.73,81.22,75.34,54.02,164.6,51.35,18.85,23.9,28.1
183,22.46,11.19,20.08,82.06,21.32,53.96,16.66,25.31,70.76,74.62,56.5,104.51,21.41,75.4,71.79,52.21,152.18,51.03,17.54,23.75,27.55
184,22.78,11.14,19.74,80.85,21.26,53.68,16.7,25.35,71.48,74.18,56.34,103.58,21.25,75.46,72.3,52.58,151.38,51.26,17.86,23.77,27.44
185,22.52,10.94,20.23,80.0,21.42,53.99,16.93,25.3,73.01,74.41,56.59,104.19,21.43,76.31,73.3,52.38,153.53,51.14,18.015,24.12,27.35
186,22.34,10.9,20.22,78.42,21.35,53.36,16.83,24.73,73.43,72.88,56.0,103.02,20.71,75.2,72.19,51.24,149.49,50.46,17.55,23.68,27.06
187,22.04,10.91,19.64,79.03,21.07,52.83,16.53,24.59,73.8,71.09,55.87,102.92,20.11,74.8,71.77,51.23,147.19,50.92,17.26,23.6,26.76
188,21.88,10.77,20.12,77.62,21.02,52.21,16.5,24.23,72.95,70.3,55.5,101.78,20.09,73.88,70.1,50.86,145.02,50.91,17.25,23.45,26.54
189,21.69,10.76,20.75,77.62,20.68,52.57,16.49,24.29,70.53,70.28,55.71,102.24,19.88,75.76,70.4,50.79,145.68,51.09,17.28,23.7,26.04
190,22.49,11.09,20.82,79.39,21.66,53.87,16.65,25.55,72.31,72.28,57.32,104.27,20.35,80.34,74.12,52.69,153.1,51.51,18.14,23.65,27.31
191,22.37,10.84,20.91,79.02,21.08,53.87,16.72,24.86,70.57,71.39,56.98,103.42,19.9,79.08,72.83,51.9,152.22,52.39,18.07,23.84,26.66
192,21.88,10.53,20.46,78.69,20.69,54.26,16.54,24.38,69.34,72.5,56.66,102.96,20.1,77.54,70.51,51.09,148.41,51.6,17.795,23.62,26.29
193,22.03,10.63,20.09,77.94,20.67,53.43,16.62,24.54,69.4,70.85,56.48,103.26,20.03,77.67,71.29,50.89,148.58,51.78,18.07,23.69,26.53
194,20.97,10.11,20.37,75.42,19.81,52.05,16.55,23.2,67.73,68.68,55.29,101.33,19.51,74.27,68.57,48.65,145.92,50.63,17.0,23.45,25.25
195,21.17,10.44,20.08,77.02,19.1,53.31,16.69,24.45,68.02,70.3,56.0,102.73,19.55,75.26,68.96,50.04,147.1,52.16,17.14,23.56,25.73
196,21.0,10.33,19.66,74.95,19.22,52.06,16.36,24.1,67.02,68.48,55.27,100.95,19.82,75.28,68.35,49.46,146.28,51.04,17.61,23.24,25.25
197,21.44,10.67,19.42,76.49,19.06,53.0,16.78,24.65,67.29,70.18,55.57,101.55,20.01,76.13,69.06,49.72,146.45,50.6,18.18,23.61,25.71
198,21.87,10.78,19.64,76.5,19.43,53.27,16.91,24.9,68.15,70.52,55.68,101.52,20.14,77.46,69.83,50.25,148.98,50.46,18.65,23.97,26.37
199,22.14,11.04,19.75,78.1,19.32,53.89,17.0,25.09,70.45,71.82,56.41,102.7,19.92,79.32,71.68,51.3,151.07,50.88,19.03,23.94,26.18
200,24.03,11.75,19.39,80.1,20.14,55.44,17.44,26.1,75.94,74.12,58.11,105.22,20.25,83.68,74.98,53.04,157.22,52.13,20.49,24.43,27.36
201,24.07,11.73,19.91,81.12,20.36,56.04,17.29,25.94,76.74,74.86,58.94,106.9,20.54,84.34,75.93,53.13,159.57,52.6,20.68,24.58,27.82
202,23.38,11.26,19.96,80.91,19.56,55.65,17.05,25.36,74.51,73.96,57.24,103.07,20.08,81.73,73.64,51.14,153.83,52.34,20.0,24.36,27.05
203,23.62,11.13,20.01,83.94,20.66,57.16,17.26,26.14,76.95,78.15,58.82,105.53,21.69,83.92,75.97,52.74,158.66,52.72,20.46,24.77,28.22
204,23.45,11.32,19.55,83.03,20.96,57.3,17.17,25.86,77.16,78.16,59.19,106.11,21.57,79.2,75.01,52.57,158.45,52.58,20.18,24.58,28.39
205,25.23,11.7,19.0,84.99,22.0,59.37,17.51,27.05,80.95,80.06,60.97,108.96,22.6,83.12,76.71,55.44,164.34,53.15,20.97,24.92,30.34
206,25.27,11.5,19.57,85.61,22.17,59.46,17.65,26.65,81.29,80.46,61.55,109.02,23.07,82.25,76.98,55.7,164.94,53.41,21.43,24.97,30.73
207,26.22,11.89,20.93,86.04,22.95,60.0,17.84,27.39,82.53,80.49,62.43,110.02,24.63,84.21,83.1,57.1,167.83,53.38,21.59,25.3,31.89
208,26.01,11.65,20.68,85.59,22.74,59.81,18.25,26.63,82.56,79.64,62.58,109.57,24.63,82.76,84.55,57.0,167.58,53.96,21.89,25.54,31.63
209,25.74,11.49,20.46,83.63,22.61,58.64,17.97,24.53,81.15,77.69,60.59,106.7,24.81,79.8,82.14,55.72,157.7,53.27,21.04,25.65,31.26
210,25.58,11.54,21.55,85.34,22.63,58.97,18.1,25.12,81.14,79.97,60.04,107.37,23.97,79.48,81.36,55.69,156.17,52.56,21.13,25.28,32.1
211,24.75,11.07,21.36,84.35,22.37,58.78,18.02,23.71,79.46,78.5,59.3,106.68,24.35,76.2,79.58,54.24,151.87,52.78,20.4,25.38,31.76
212,26.38,11.8,21.25,87.7,23.06,60.08,18.36,25.1,84.33,81.21,60.77,109.47,25.1,78.7,82.6,56.52,157.05,54.35,21.56,25.88,32.81
213,27.19,12.25,22.54,88.7,23.78,61.52,18.8,26.39,86.42,81.62,62.19,110.81,26.31,80.36,85.1,58.3,161.03,55.01,22.16,26.53,34.05
214,26.24,11.93,21.84,86.76,23.29,60.33,18.71,25.87,84.79,79.58,60.43,106.18,25.81,80.0,82.97,57.29,158.37,53.98,21.67,26.33,33.07
215,25.28,11.61,22.2,85.73,22.54,59.55,18.47,25.07,82.73,77.28,58.98,103.2,25.23,77.92,80.54,55.58,153.09,52.86,20.82,26.03,32.0
216,25.26,11.53,21.82,85.1,22.38,59.67,18.7,24.95,81.96,76.99,58.84,103.56,25.39,76.53,80.52,55.39,150.65,53.69,20.63,26.34,31.77
217,25.35,11.6,20.88,84.29,22.46,59.59,18.72,25.12,81.94,77.2,58.92,104.12,25.54,76.31,80.07,55.65,150.72,53.26,20.89,26.39,31.95
218,25.95,11.97,20.03,85.51,22.51,60.73,18.83,25.44,84.19,78.31,59.61,105.6,25.15,77.3,80.14,56.1,151.64,54.14,20.88,26.51,31.7
219,25.8,11.66,19.33,83.23,21.94,60.01,18.54,24.62,82.43,77.33,58.26,103.87,24.14,75.48,78.68,54.88,148.32,52.66,19.94,25.94,31.24
220,26.41,11.9,19.53,83.37,22.28,60.8,18.35,25.29,84.0,79.09,58.94,104.12,24.17,78.29,79.6,55.42,150.29,52.51,20.48,26.02,31.55
221,26.65,12.09,20.35,84.41,22.52,61.4,18.26,26.07,85.19,80.79,58.56,103.01,24.34,79.34,80.33,55.53,151.94,52.8,20.83,26.3,31.34
222,26.56,12.11,20.27,84.22,22.45,61.8,18.34,25.96,83.82,80.4,58.37,103.79,24.4,80.07,80.34,55.74,152.19,52.74,20.8,26.34,31.33
223,30.2,13.76,20.99,86.85,23.34,62.5,18.51,28.47,87.77,82.18,60.46,106.65,25.52,86.61,84.59,58.27,161.44,53.77,23.06,26.89,32.93
224,30.8,13.89,21.63,89.62,24.35,62.98,18.77,29.23,88.4,84.39,60.94,108.08,26.27,86.44,85.27,58.99,166.58,54.25,23.52,27.29,35.46
225,31.17,13.8,21.9,89.21,24.7,63.26,18.77,29.28,87.5,83.32,61.18,107.59,25.86,86.52,86.81,59.47,170.1,53.72,23.26,27.62,36.52
226,31.66,13.8,22.19,91.48,24.72,63.67,18.78,29.14,88.92,83.24,61.45,108.45,26.02,85.82,87.46,59.85,170.3,53.95,23.42,27.95,36.42
227,30.92,13.68,22.92,92.41,24.3,63.34,18.77,29.16,89.05,82.69,61.05,107.75,25.94,87.19,87.03,59.81,170.71,55.17,23.42,28.23,35.83
228,30.85,13.59,22.95,92.56,24.41,64.09,18.8,29.19,90.18,83.26,62.13,108.73,25.95,89.64,87.39,60.47,169.44,55.78,23.14,28.17,35.9
229,29.93,13.36,23.42,92.45,24.26,63.61,18.83,28.35,88.88,81.93,62.65,107.78,25.81,88.28,85.81,59.68,167.75,54.84,22.84,28.13,35.76
230,29.39,13.47,23.2,91.64,23.91,63.44,19.0,28.33,89.03,81.94,62.75,108.41,25.51,86.99,86.17,60.17,163.13,54.78,22.68,27.71,34.94
231,29.29,13.46,22.39,90.97,24.03,63.18,19.14,28.33,89.68,81.29,62.17,107.91,25.91,87.27,85.44,59.97,162.9,55.06,22.63,27.79,34.89
232,28.98,13.42,22.73,91.44,23.6,62.99,18.84,28.28,88.67,81.95,62.07,107.97,24.74,86.44,84.86,60.31,162.13,55.44,22.42,27.52,34.05
233,29.6,13.84,22.99,92.1,24.19,63.67,19.03,29.2,90.66,82.3,64.33,110.3,24.95,90.85,85.6,61.17,162.09,55.98,22.86,27.75,34.19
234,29.06,13.66,24.11,90.74,24.1,63.28,18.85,30.54,88.52,81.46,64.1,109.67,24.7,90.37,84.71,61.13,161.41,57.02,22.57,27.47,34.04
235,27.59,12.89,23.23,86.66,22.72,60.96,18.31,28.22,85.63,78.58,61.99,107.07,23.98,86.89,81.43,59.01,157.5,54.16,21.13,26.93,32.47
236,26.75,12.57,22.92,84.17,21.99,58.87,17.66,27.99,84.35,76.02,60.4,103.03,22.67,86.18,79.31,57.53,154.84,53.02,20.65,26.06,31.29
237,28.6,13.44,22.87,87.35,23.35,61.05,18.29,29.5,90.4,79.98,62.59,106.05,23.84,91.5,84.99,60.45,161.09,55.59,22.16,26.75,33.12
238,28.54,13.47,22.79,87.97,23.49,61.34,18.2,30.01,88.62,80.98,63.79,106.4,23.89,91.33,84.95,60.79,162.22,55.47,21.95,26.73,33.02
239,29.1,13.56,22.59,88.26,23.51,61.55,18.09,30.96,88.29,80.85,64.26,106.27,23.33,91.91,85.7,60.76,164.25,55.23,21.9,26.73,32.88
240,29.74,13.85,22.56,89.69,23.8,62.34,18.24,31.74,88.5,81.73,64.52,107.14,23.55,94.25,86.09,61.39,164.11,55.89,22.26,26.77,33.26
241,29.76,14.07,23.21,90.04,23.94,62.55,18.29,32.91,89.32,82.09,64.66,107.3,23.55,96.31,87.65,61.31,165.17,56.55,22.2,26.78,33.35
242,28.41,13.39,22.24,85.42,22.71,60.5,17.97,31.24,86.18,77.72,63.01,103.99,22.65,92.47,82.97,59.59,160.24,55.44,21.03,26.24,32.02
243,28.02,13.33,22.71,85.11,22.67,60.08,17.85,31.3,86.19,76.92,62.62,103.76,22.68,92.62,82.31,59.05,158.66,55.18,21.03,26.14,31.88
244,29.19,13.62,23.33,85.82,23.12,60.42,18.23,31.27,87.32,78.08,63.08,104.74,22.87,93.89,83.44,60.9,162.52,55.64,21.63,26.55,32.01
245,29.96,14.17,24.36,87.09,23.8,61.27,18.43,32.86,88.89,77.81,63.26,106.21,23.54,99.6,85.99,62.88,167.4,56.93,21.92,26.8,33.07
246,29.23,13.85,25.67,87.9,23.78,61.07,18.57,32.58,88.17,78.07,63.17,106.07,23.55,98.06,85.77,62.75,166.74,57.39,21.47,26.94,32.79
247,27.84,13.21,25.51,84.45,22.23,58.97,18.44,30.51,85.18,74.7,61.37,103.99,22.41,91.17,83.72,60.28,160.96,56.49,20.54,26.42,31.17
248,27.53,12.93,26.11,82.54,21.62,57.95,18.3,29.48,83.34,72.31,60.41,102.93,22.26,87.99,81.09,59.01,157.19,55.44,20.05,26.28,30.68
249,27.76,12.95,27.0,80.79,21.61,57.45,18.17,29.66,82.6,70.26,60.14,102.6,21.97,88.19,79.89,59.21,157.24,55.38,20.03,26.24,30.53
250,28.65,13.26,26.01,82.7,22.38,58.68,18.67,30.24,84.01,72.3,61.23,104.07,22.73,89.42,82.59,60.13,158.0,57.52,20.57,26.7,31.19
251,28.7,13.33,25.46,82.4,22.42,58.33,18.52,29.99,84.6,71.68,61.17,104.28,23.02,89.83,83.3,59.8,157.06,56.92,20.41,26.5,31.22
252,28.97,13.12,26.33,81.65,22.09,57.4,18.28,30.08,83.91,70.47,60.88,103.93,22.37,90.04,82.73,59.46,157.19,55.92,20.17,26.2,30.61
253,27.3,12.52,25.63,78.54,21.45,55.12,17.93,27.83,80.39,67.67,59.53,101.97,21.67,84.58,79.66,57.67,151.86,54.88,19.04,25.6,29.55
254,26.65,12.24,23.13,77.17,20.69,54.25,17.86,27.23,78.38,66.8,58.95,101.3,21.22,81.74,76.19,57.08,147.29,54.47,18.47,25.56,28.73
255,25.78,11.75,23.43,74.48,20.06,53.26,17.64,25.94,76.37,64.88,57.32,98.62,20.6,78.36,73.91,55.5,140.94,53.31,17.98,25.28,27.87
256,24.93,11.12,23.47,70.55,19.36,50.88,17.18,24.82,73.65,61.92,55.35,95.96,19.65,73.19,70.34,53.7,136.66,50.2,17.21,24.72,26.65
257,25.33,11.34,24.74,71.13,20.07,52.12,17.47,25.37,74.24,62.57,55.96,96.53,20.04,74.92,71.5,54.47,138.95,52.38,17.56,25.03,27.24
258,26.34,11.87,24.85,73.76,20.77,54.08,17.85,27.18,76.3,64.91,57.76,99.82,20.23,79.34,74.19,57.02,145.09,53.46,18.42,25.28,28.43
259,25.99,11.7,25.28,72.31,20.55,53.39,17.47,27.01,74.99,63.48,57.11,98.82,19.88,78.67,73.7,56.67,143.85,53.09,18.25,25.26,27.98
260,25.62,11.5,25.58,72.17,20.11,53.43,17.37,26.58,74.37,63.71,57.04,98.86,20.21,78.24,72.51,55.34,141.95,52.95,18.21,25.15,28.41
261,26.65,11.83,26.19,74.32,20.69,54.66,17.83,27.12,75.85,65.54,58.48,100.95,20.89,80.25,74.17,56.87,144.66,53.83,18.84,25.59,29.46
262,25.94,11.37,27.03,74.54,20.64,54.34,17.75,26.26,74.06,65.58,57.83,100.61,20.67,78.55,72.73,56.33,142.68,52.92,18.56,25.27,29.18
263,26.46,11.78,28.91,75.22,21.09,55.28,17.77,26.9,77.49,67.3,58.22,101.18,21.0,79.58,73.3,56.72,144.98,53.34,19.04,25.3,29.32
264,26.63,11.81,28.09,74.78,21.25,55.93,17.9,26.78,77.66,67.64,58.93,102.57,21.18,79.54,73.71,57.08,147.07,53.8,19.08,25.45,29.64
265,25.84,11.59,27.4,73.43,20.68,55.22,17.38,26.1,76.44,66.97,57.57,101.81,21.24,77.13,72.86,56.06,145.37,51.97,18.75,25.05,28.83
266,25.49,11.3,27.1,73.48,20.16,54.46,17.32,25.79,73.78,66.4,57.58,101.63,20.86,76.75,71.62,55.38,142.35,51.35,18.28,24.94,28.5
267,26.21,11.55,26.97,76.07,20.37,55.94,17.48,26.43,74.98,69.01,58.2,102.6,21.31,80.53,73.68,56.64,153.51,51.43,18.78,25.12,28.9
268,25.29,11.05,27.1,71.64,19.2,54.38,17.14,25.69,71.87,64.18,56.84,100.3,20.63,76.42,70.74,54.93,150.0,51.72,17.75,24.89,27.63
269,26.63,11.79,26.58,73.37,19.48,56.49,17.02,26.19,73.2,65.71,57.2,101.23,20.86,79.83,70.74,55.95,151.79,52.21,18.06,25.08,27.92
270,27.01,11.96,26.38,73.96,20.0,57.41,17.12,26.39,73.14,66.5,57.86,101.95,21.19,80.05,70.93,56.5,151.55,52.56,18.33,25.06,28.42
271,26.64,11.82,26.49,73.01,19.69,57.22,17.04,25.61,71.64,66.0,57.2,100.25,21.09,77.23,69.38,55.45,148.08,51.75,17.91,24.76,27.99
272,27.65,12.35,26.79,74.23,20.21,58.48,17.19,26.26,72.61,66.9,58.18,102.08,21.36,78.12,68.73,56.48,151.48,52.7,19.06,24.98,28.42
273,28.0,12.4,28.75,74.41,20.63,59.14,17.24,26.84,72.78,66.84,58.35,102.85,21.51,79.01,69.46,57.19,154.0,52.83,19.23,24.98,28.98
274,28.47,12.4,28.48,74.44,20.44,59.54,17.3,26.87,71.99,67.25,57.35,102.64,21.35,79.37,69.79,57.04,154.68,53.37,18.92,25.0,28.55
275,28.01,12.1,28.37,73.89,20.13,59.15,17.21,25.79,69.94,66.25,56.77,101.96,21.66,75.64,68.0,55.97,151.6,52.45,17.88,24.83,28.35
276,27.17,11.67,29.13,71.85,19.65,58.38,17.0,24.79,67.46,64.54,55.94,100.92,21.28,72.54,65.92,54.81,147.59,51.75,17.13,24.61,27.78
277,26.91,11.49,29.42,69.97,19.17,57.1,16.75,24.08,66.4,63.51,55.56,100.73,21.39,71.88,65.97,54.52,145.0,51.28,16.87,24.48,27.19
278,26.14,11.14,30.77,68.15,18.9,56.28,16.29,23.45,64.74,62.24,54.39,96.7,21.18,69.81,65.36,53.53,142.34,50.56,16.6,24.04,26.81
279,25.34,10.68,30.47,66.27,18.15,54.23,15.89,22.09,63.59,60.24,52.73,94.29,20.19,67.88,64.26,52.44,140.47,49.27,16.0,23.89,26.44
280,25.7,10.72,30.93,65.95,18.21,54.77,15.94,21.95,64.32,60.2,52.74,94.3,20.43,68.18,64.47,52.77,141.32,50.43,16.07,24.04,26.46
281,27.26,11.3,29.97,68.8,19.21,56.82,16.28,23.47,66.75,63.11,54.91,96.73,21.52,72.2,67.64,54.79,145.55,51.98,17.29,24.5,27.49
282,28.53,11.61,28.96,70.93,20.05,57.96,16.48,24.38,68.19,65.23,55.36,97.84,22.19,74.2,68.45,55.41,147.84,52.96,17.9,24.64,28.22
283,29.24,11.8,28.66,72.18,20.17,58.63,16.47,24.63,69.34,66.34,55.46,98.51,22.36,75.01,68.73,56.02,149.15,53.46,18.13,24.59,28.45
284,29.09,11.52,28.55,70.68,19.77,58.09,16.14,24.0,67.4,65.46,54.71,97.22,22.3,73.08,67.43,55.13,146.89,52.55,17.69,24.15,28.13
285,30.36,12.01,28.85,72.61,20.55,60.02,16.59,25.66,69.85,67.11,55.77,98.64,23.07,76.65,69.63,56.74,151.67,53.84,18.74,24.61,29.08
286,29.78,11.76,29.15,71.57,20.16,58.93,16.34,25.25,69.08,66.02,55.16,98.39,22.8,76.28,67.39,56.2,150.28,53.04,18.66,24.56,28.28
287,29.55,11.75,28.79,71.09,19.98,59.27,16.27,25.69,68.75,66.31,54.52,96.77,22.78,77.14,67.52,55.53,149.67,52.52,19.48,24.69,28.04
288,28.24,11.26,28.92,69.21,19.69,57.25,16.16,25.08,68.81,63.95,53.77,95.71,22.5,74.16,66.36,54.65,147.92,52.08,19.05,24.65,27.98
289,29.32,11.72,31.66,69.92,20.46,57.9,16.42,26.58,71.27,65.2,55.08,97.71,23.35,76.57,68.36,56.6,149.85,53.29,19.85,25.11,28.61
290,29.17,11.63,32.77,69.62,20.17,58.24,16.34,25.92,69.91,64.7,54.87,97.49,23.16,75.56,67.99,56.24,149.88,53.17,19.67,24.97,28.09
291,29.06,11.58,31.87,68.74,19.91,58.57,16.16,25.66,70.11,65.52,54.55,97.06,23.02,74.93,67.67,55.98,147.55,52.47,19.53,24.62,27.83
292,28.23,11.19,32.55,66.99,19.35,57.11,16.09,24.91,68.68,63.7,54.05,96.39,22.71,74.7,67.18,55.28,145.3,52.36,19.04,24.75,26.66
293,28.45,11.35,29.32,66.74,19.32,57.25,15.98,25.07,68.58,63.54,54.09,96.0,23.51,75.66,67.35,55.58,150.3,52.4,18.93,24.14,26.62
294,28.07,11.27,29.62,66.38,19.53,56.87,15.97,24.98,67.77,63.41,53.98,96.07,23.86,75.04,67.14,55.73,151.08,52.49,18.69,24.28,26.78
295,28.92,12.08,29.58,67.26,20.44,58.61,16.14,26.65,71.39,66.18,55.37,97.97,24.39,77.8,70.09,57.59,154.87,53.41,20.15,24.81,28.11
296,28.27,11.73,29.07,65.24,20.07,57.56,16.01,26.28,68.91,64.7,54.58,96.2,24.34,75.68,69.52,56.94,152.95,53.05,19.35,24.75,27.67
297,30.33,12.63,29.78,66.03,20.8,59.57,16.38,27.88,72.65,66.51,56.42,98.24,25.13,81.58,75.31,59.32,158.66,55.71,20.62,25.8,29.24
298,30.31,12.32,30.56,65.76,20.59,59.1,16.16,27.33,72.16,65.46,55.82,97.32,24.39,80.07,73.97,59.23,157.03,55.57,20.49,25.41,28.86
299,29.79,12.0,31.05,66.02,20.27,58.86,15.96,26.94,71.34,65.6,55.16,96.76,23.94,82.62,74.25,58.92,157.05,55.17,20.14,25.28,28.31
300,28.18,11.48,30.69,64.27,19.6,57.13,15.68,25.48,67.6,62.97,53.69,94.78,22.88,79.11,71.53,57.07,149.36,52.99,18.91,24.97,27.25
301,28.49,11.41,30.42,64.34,19.48,57.84,15.78,25.43,67.31,63.32,53.64,94.85,23.24,80.04,72.21,59.33,147.95,53.31,18.77,24.71,26.93
302,30.44,12.02,30.69,67.01,19.75,59.91,16.13,26.75,70.82,65.32,55.21,97.64,23.44,84.38,74.6,62.26,150.05,54.85,20.12,25.03,27.15
303,32.8,12.73,32.37,68.61,20.81,61.8,16.49,27.96,74.7,67.17,57.08,100.06,24.04,87.86,76.87,63.71,157.96,57.46,21.54,25.47,28.88
304,33.09,12.85,32.6,68.04,21.0,61.89,16.53,28.1,75.34,67.63,57.59,100.6,24.22,88.72,78.1,65.02,162.03,57.47,21.91,25.4,29.01
305,35.0,13.66,33.94,71.13,22.14,63.09,16.98,30.19,79.12,70.78,59.3,102.97,24.92,95.48,81.81,66.71,168.02,58.9,23.26,26.04,30.19
306,35.13,13.76,34.65,70.91,22.39,62.51,16.89,29.9,78.66,71.17,59.92,103.36,24.92,94.98,81.73,67.8,169.54,58.28,21.69,26.08,30.91
307,35.75,13.79,35.52,69.96,22.16,61.93,16.92,30.03,78.36,70.31,59.88,103.33,25.05,96.05,82.57,68.04,170.3,58.81,21.27,26.27,30.33
308,35.51,13.67,34.33,70.03,21.62,61.81,16.73,29.58,78.11,70.57,58.82,101.45,24.73,94.67,80.27,67.77,166.51,57.99,21.43,25.94,29.64
309,36.81,14.24,35.19,72.57,22.28,63.56,16.91,31.15,81.14,73.62,60.93,104.33,25.18,98.86,83.91,70.1,174.68,59.45,21.8,26.4,30.36
310,38.76,14.83,34.98,75.71,23.02,63.02,16.94,31.81,82.78,75.02,61.72,104.72,25.45,103.38,86.4,71.49,178.97,60.06,22.06,27.34,30.88
311,40.08,15.38,35.18,77.35,23.41,63.25,16.92,32.77,84.11,74.3,61.62,105.86,25.34,104.16,87.1,71.73,181.96,60.22,22.21,27.28,30.59
312,38.68,15.09,35.95,78.39,22.99,62.86,16.74,32.0,82.88,75.37,60.49,104.93,24.78,104.11,86.57,71.81,181.8,60.1,22.1,27.06,29.94
313,38.4,15.36,36.11,79.3,23.38,63.5,16.94,32.48,83.61,75.9,60.66,105.68,24.79,105.12,85.79,71.51,184.66,60.75,22.8,27.64,31.02
314,39.86,16.07,35.78,82.13,23.94,65.16,17.47,33.63,89.15,78.6,62.18,108.05,25.24,109.9,90.53,74.92,193.08,61.63,24.36,28.32,31.66
315,39.45,15.95,34.96,82.04,24.68,64.56,17.74,33.39,89.85,77.8,61.56,107.13,25.45,110.73,90.16,73.97,193.06,61.9,24.42,28.63,32.46
